datetime_utc,value,parameter,unit,sensor_id,location_name,city,country
2016-01-30 01:45:00+00:00,583.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 01:45:00+00:00,2371.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 02:00:00+00:00,19.7,pm10,µg/m³,87,Gobernación,Unknown,CL
2016-01-30 02:00:00+00:00,-999.0,co,µg/m³,167,Wijk aan Zee-Burgemeester Rothestraat,Unknown,NL
2016-01-30 02:00:00+00:00,2450.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 02:00:00+00:00,0.0,co,µg/m³,5127,Coronel Norte,Unknown,CL
2016-01-30 02:00:00+00:00,5.0,no2,µg/m³,231,London Haringey Priory Park South - UKA00568,Unknown,GB
2016-01-30 02:00:00+00:00,29.0,pm25,µg/m³,219,Shanghai,Unknown,CN
2016-01-30 02:00:00+00:00,1446.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 02:00:00+00:00,10.6,no2,µg/m³,5009,Ursynów,Unknown,PL
2016-01-30 02:00:00+00:00,219.8,co,µg/m³,164,Amsterdam-Van Diemenstraat,Unknown,NL
2016-01-30 02:00:00+00:00,228.6,co,µg/m³,165,IJmuiden-Kanaaldijk,Unknown,NL
2016-01-30 02:00:00+00:00,245.1,co,µg/m³,1410,Concón,Unknown,CL
2016-01-30 02:00:00+00:00,6.78,no2,µg/m³,4608,Hilversum-J. Gerardtsweg,Unknown,NL
2016-01-30 02:00:00+00:00,3.0,no2,µg/m³,251,Southwark A2 Old Kent Road,Unknown,GB
2016-01-30 02:00:00+00:00,-999.0,co,µg/m³,157,Amsterdam-Vondelpark,Unknown,NL
2016-01-30 02:00:00+00:00,24.5,co,µg/m³,4385,Talagante,Unknown,CL
2016-01-30 02:00:00+00:00,563.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 02:00:00+00:00,-999.0,co,µg/m³,162,Badhoevedorp-Sloterweg,Unknown,NL
2016-01-30 02:00:00+00:00,212.2,co,µg/m³,166,Amsterdam-Einsteinweg,Unknown,NL
2016-01-30 02:00:00+00:00,2257.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 02:00:00+00:00,27.0,no2,µg/m³,238,London Bloomsbury,Unknown,GB
2016-01-30 02:00:00+00:00,733.0,co,µg/m³,4990,Konarskiego,Unknown,PL
2016-01-30 02:00:00+00:00,590.7,co,µg/m³,223,Escuela E-10,Unknown,CL
2016-01-30 02:00:00+00:00,21.0,pm25,µg/m³,220,Guangzhou,Unknown,CN
2016-01-30 02:00:00+00:00,308.0,co,µg/m³,65,Puente Alto,Unknown,CL
2016-01-30 02:00:00+00:00,194.73,co,µg/m³,85,Zegveld-Oude Meije,Unknown,NL
2016-01-30 02:00:00+00:00,1259.0,co,µg/m³,4422,Coyhaique II,Unknown,CL
2016-01-30 02:00:00+00:00,123.5,co,µg/m³,1045,Parque O'Higgins,Unknown,CL
2016-01-30 02:00:00+00:00,13.0,no2,µg/m³,88,Haringey Roadside,Unknown,GB
2016-01-30 02:00:00+00:00,29.42,pm10,µg/m³,110,Curicó,Unknown,CL
2016-01-30 02:00:00+00:00,17.35,pm10,µg/m³,45,Inpesca,Unknown,CL
2016-01-30 02:00:00+00:00,10.4666666666667,pm10,µg/m³,4700,Amsterdam-Westerpark,Unknown,NL
2016-01-30 02:00:00+00:00,816.2,co,µg/m³,209,Los Vientos,Unknown,CL
2016-01-30 02:00:00+00:00,136.47,co,µg/m³,4230,Nijmegen-Graafseweg,Unknown,NL
2016-01-30 02:00:00+00:00,17.13,pm10,µg/m³,5294,Cerro Merquín,Unknown,CL
2016-01-30 02:00:00+00:00,8.66666666666667,pm25,µg/m³,161,Maastricht-A2 Kasteel Hillenraadweg,Unknown,NL
2016-01-30 02:15:00+00:00,1025.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 02:15:00+00:00,2600.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 02:15:00+00:00,200.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 02:30:00+00:00,106.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 02:30:00+00:00,1152.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 02:30:00+00:00,1322.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 02:30:00+00:00,1025.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 02:30:00+00:00,2444.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 02:45:00+00:00,2542.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 02:45:00+00:00,71.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 02:45:00+00:00,938.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 03:00:00+00:00,-999.0,co,µg/m³,162,Badhoevedorp-Sloterweg,Unknown,NL
2016-01-30 03:00:00+00:00,129.37,co,µg/m³,4230,Nijmegen-Graafseweg,Unknown,NL
2016-01-30 03:00:00+00:00,30.46,pm10,µg/m³,5294,Cerro Merquín,Unknown,CL
2016-01-30 03:00:00+00:00,-999.0,co,µg/m³,167,Wijk aan Zee-Burgemeester Rothestraat,Unknown,NL
2016-01-30 03:00:00+00:00,152.0,co,µg/m³,1045,Parque O'Higgins,Unknown,CL
2016-01-30 03:00:00+00:00,4.0,no2,µg/m³,251,Southwark A2 Old Kent Road,Unknown,GB
2016-01-30 03:00:00+00:00,807.1,co,µg/m³,209,Los Vientos,Unknown,CL
2016-01-30 03:00:00+00:00,8.0,no2,µg/m³,88,Haringey Roadside,Unknown,GB
2016-01-30 03:00:00+00:00,-999.0,co,µg/m³,157,Amsterdam-Vondelpark,Unknown,NL
2016-01-30 03:00:00+00:00,21.0,pm25,µg/m³,220,Guangzhou,Unknown,CN
2016-01-30 03:00:00+00:00,6.59,no2,µg/m³,4608,Hilversum-J. Gerardtsweg,Unknown,NL
2016-01-30 03:00:00+00:00,855.4,co,µg/m³,1410,Concón,Unknown,CL
2016-01-30 03:00:00+00:00,1180.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 03:00:00+00:00,200.4,co,µg/m³,164,Amsterdam-Van Diemenstraat,Unknown,NL
2016-01-30 03:00:00+00:00,2672.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 03:00:00+00:00,58.53,pm10,µg/m³,87,Gobernación,Unknown,CL
2016-01-30 03:00:00+00:00,0.0,co,µg/m³,5127,Coronel Norte,Unknown,CL
2016-01-30 03:00:00+00:00,9.6,no2,µg/m³,5009,Ursynów,Unknown,PL
2016-01-30 03:00:00+00:00,4.0,no2,µg/m³,231,London Haringey Priory Park South - UKA00568,Unknown,GB
2016-01-30 03:00:00+00:00,0.0,so2,µg/m³,89,Coya Población,Unknown,CL
2016-01-30 03:00:00+00:00,8.34782608695652,pm25,µg/m³,161,Maastricht-A2 Kasteel Hillenraadweg,Unknown,NL
2016-01-30 03:00:00+00:00,478.8,co,µg/m³,65,Puente Alto,Unknown,CL
2016-01-30 03:00:00+00:00,222.13,co,µg/m³,85,Zegveld-Oude Meije,Unknown,NL
2016-01-30 03:00:00+00:00,211.6,co,µg/m³,166,Amsterdam-Einsteinweg,Unknown,NL
2016-01-30 03:00:00+00:00,610.3,co,µg/m³,223,Escuela E-10,Unknown,CL
2016-01-30 03:00:00+00:00,32.0,pm25,µg/m³,219,Shanghai,Unknown,CN
